Company_Id,Job ID,Job Position Name,Posted Date,Location,url
C0000258,R0006236,"Store Manager - Dodge City, KS",3/25/2019,"Dodge City, KS",https://cngholdingsinc.wd5.myworkdayjobs.com/Axcess_Financial/job/R0005993  /Sales---Service-Rep-l--Crystal-Lake-841_Posted30DaysAgo-1
C0000258,R0006201,"Store Manager - Garden City, KS",3/25/2019,"Garden City, KS",https://cngholdingsinc.wd5.myworkdayjobs.com/Axcess_Financial/job/Niles-IL/Sales---Services-Specialist-805-Niles_R0005963-1
C0000258,R0006238,"Store Manager - Independence, KS",3/25/2019,"Independence, KS",https://cngholdingsinc.wd5.myworkdayjobs.com/Axcess_Financial/job/Dodge City-KS/Sales-and-Service-Specialist---Dodge-City--KS_R0006237-1
C0000258,R0006226,"Store Manager - Kansas City, KS",3/25/2019,"Kansas City, KS",https://cngholdingsinc.wd5.myworkdayjobs.com/Axcess_Financial/job/R0006202  /Sales-and-Service-Specialist---Garden-City--KS_Posted30DaysAgo-1
C0000258,R0006232,"Store Manager - Liberal, KS",3/25/2019,"Liberal, KS",https://cngholdingsinc.wd5.myworkdayjobs.com/Axcess_Financial/job/Independence-KS/Sales-and-Service-Specialist---Independence--KS_R0006239-1
C0000258,R0006230,"Store Manager - Manhattan, KS",3/25/2019,"Manhattan, KS",https://cngholdingsinc.wd5.myworkdayjobs.com/Axcess_Financial/job/Junction City-KS/Sales-and-Service-Specialist---Junction-City--KS_R0006235-1
C0000258,R0006186,"Store Manager - Newton, KS 2520",3/25/2019,"Newton, KS",https://cngholdingsinc.wd5.myworkdayjobs.com/Axcess_Financial/job/Kansas City-KS/Sales-and-Service-Specialist---Kansas-City--KS_R0006227-1
C0000258,R0006193,"Store Manager - Pittsburg, KS",3/25/2019,"Pittsburg, KS",https://cngholdingsinc.wd5.myworkdayjobs.com/Axcess_Financial/job/Liberal-KS/Sales-and-Service-Specialist---Liberal--KS_R0006233-1
C0000258,R0006228,"Store Manager - Shawnee Mission, KS",3/25/2019,"Shawnee Mission, KS",https://cngholdingsinc.wd5.myworkdayjobs.com/Axcess_Financial/job/Manhattan-KS/Sales-and-Service-Specialist---Manhattan--KS_R0006231-1
C0000258,R0006191,"Store Manager - Wichita, KS",3/25/2019,"Wichita, KS",https://cngholdingsinc.wd5.myworkdayjobs.com/Axcess_Financial/job/R0006188  /Sales-and-Service-Specialist---Newton--KS_Posted30DaysAgo-1
C0000258,R0006288,"STORE MANAGER- AMARILLO, TX",3/25/2019,"Amarillo, TX, More...",https://cngholdingsinc.wd5.myworkdayjobs.com/Axcess_Financial/job/Pittsburg-KS/Sales-and-Service-Specialist---Pittsburg--KS_R0006194-1
C0000258,R0006300,Store Manager-825,3/25/2019,,https://cngholdingsinc.wd5.myworkdayjobs.com/Axcess_Financial/job/Wichita-KS/Sales-and-Service-Specialist-Wichita--KS_R0006192-1
C0000258,R0006301,Store Manager-847,3/25/2019,,https://cngholdingsinc.wd5.myworkdayjobs.com/Axcess_Financial/job/Shawnee Mission-KS/Sales-and-Service-Specialist_R0006229-1
C0000258,R0005925,Store Manager,3/25/2019,"Durant, OK",https://cngholdingsinc.wd5.myworkdayjobs.com/Axcess_Financial/job/R0006015  /Southgate---Sales-and-Service-Specialist_Posted30DaysAgo-1
C0000258,R0006060,Store Manager,3/25/2019,"Coweta, OK",https://cngholdingsinc.wd5.myworkdayjobs.com/Axcess_Financial/job/Dodge City-KS/Store-Manager---Dodge-City--KS_R0006236-1
C0000258,R0006014,Taylor - Sales and Service Specialist,3/25/2019,,https://cngholdingsinc.wd5.myworkdayjobs.com/Axcess_Financial/job/Garden City-KS/Store-Manager---Garden-City--KS_R0006201-1
C0000258,R0006010,Toledo - Sales and Service Specialist,3/25/2019,,https://cngholdingsinc.wd5.myworkdayjobs.com/Axcess_Financial/job/Independence-KS/Store-Manager---Independence--KS_R0006238-1
